"subject_id" "trial_number" "trial_id" "target_sentence" "target_side" "other_side" "trial_type" "date_stamp" "time_stamp" "side_chosen" "accuracy" "rt" "play_counter" "order" "sentence_type" "animacy" "version"
"1ebbSRddusMUfuZicVGxXhkbI" 11 "8poup" "Chase_will_give_the_deer_to_the_kitten" "right" "left" "training" "7/1/2019" "10:43" "right" 1 6798.44 1 "Pre" "PO" "NonPred" "Old"
"1ebbSRddusMUfuZicVGxXhkbI" 12 "12poup" "Winnie_the_pooh_will_show_the_owl_to_the_duck" "right" "left" "training" "7/1/2019" "10:43" "right" 1 3673.44 1 "Pre" "PO" "NonPred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 1 "1dop" "The_boy_will_throw_the_bear_the_cheese" "left" "right" "training" "06/05/2019" "14:19" "left" 1 5583.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 2 "4dop" "George_will_send_the_donkey_the_brush" "right" "left" "training" "06/05/2019" "14:19" "right" 1 2671.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 3 "3dop" "Rebecca_Rabbit_will_bring_the_chicken_the_pencil" "left" "right" "training" "06/05/2019" "14:19" "left" 1 964.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 4 "12dop" "Winnie_the_pooh_will_show_the_duck_the_frisbee" "right" "left" "training" "06/05/2019" "14:19" "right" 1 2150.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 5 "11dop" "Marshall_will_pass_the_bee_the_gloves" "left" "right" "training" "06/05/2019" "14:19" "left" 1 1438.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 6 "8dop" "Chase_will_give_the_kitten_the_bisuit" "right" "left" "training" "06/05/2019" "14:19" "right" 1 2992.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 7 "10dop" "Boots_will_send_the_caterpillar_the_flower" "left" "right" "training" "06/05/2019" "14:19" "left" 1 1359.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 8 "5dop" "The_girl_will_pass_the_sheep_the_dress" "left" "right" "training" "06/05/2019" "14:19" "left" 1 2566.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 9 "2dop" "Tigger_will_give_the_zebra_the_bottle" "left" "right" "training" "06/05/2019" "14:19" "left" 1 838.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 10 "6dop" "Piglet_will_show_the_fish_the_plate" "right" "left" "training" "06/05/2019" "14:19" "right" 1 11575.661 1 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 11 "7dop" "Bob_the_builder_will_throw_the_penguin_the_shoe" "right" "left" "training" "06/05/2019" "14:19" "right" 1 1334.661 2 "Post" "DO" "Pred" "Old"
"2GHibkOORxf1BEG7fHceuUNve" 12 "9dop" "Dora_the_explorer_will_bring_the_hippo_the_spoon" "right" "left" "training" "06/05/2019" "14:19" "right" 1 1936.661 1 "Post" "DO" "Pred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 1 "1poup" "The_boy_will_throw_the_dinosaur_to_the_bear" "right" "left" "training" "6/28/2019" "10:10" "right" 1 8621 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 2 "8poup" "Chase_will_give_the_deer_to_the_kitten" "right" "left" "training" "6/28/2019" "10:10" "right" 1 4979 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 3 "12poup" "Winnie_the_pooh_will_show_the_owl_to_the_duck" "left" "right" "training" "6/28/2019" "10:10" "left" 1 5126 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 4 "7poup" "Bob_the_builder_will_throw_the_dog_to_the_penguin" "right" "left" "training" "6/28/2019" "10:10" "right" 1 5084 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 5 "3poup" "Rebecca_Rabbit_will_bring_the_frog_to_the_chicken" "left" "right" "training" "6/28/2019" "10:10" "left" 1 4006 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 6 "4poup" "George_will_send_the_fox_to_the_donkey" "right" "left" "training" "6/28/2019" "10:10" "right" 1 6782 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 7 "11poup" "Marshall_will_pass_the_goat_to_the_bee" "left" "right" "training" "6/28/2019" "10:10" "left" 1 1952 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 8 "5poup" "The_girl_will_pass_the_bird_to_the_sheep" "left" "right" "training" "6/28/2019" "10:10" "left" 1 3075 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 9 "2poup" "Tigger_will_give_the_butterfly_to_the_zebra" "left" "right" "training" "6/28/2019" "10:10" "left" 1 4082 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 10 "6poup" "Piglet_will_show_the_ant_to_the_fish" "right" "left" "training" "6/28/2019" "10:10" "right" 1 5352 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 11 "9poup" "Dora_the_explorer_will_bring_the_cow_to_the_hippo" "left" "right" "training" "6/28/2019" "10:10" "left" 1 4897 1 "Post" "PO" "NonPred" "Old"
"2hYJmUF5jJEGGI7LxAbvsImqO" 12 "10poup" "Boots_will_send_the_pig_to_the_caterpillar" "right" "left" "training" "6/28/2019" "10:10" "right" 1 4215 1 "Post" "PO" "NonPred" "Old"
"498wbE6Ds1TB31uO9iPg2FSGC" 1 "5pop" "The_girl_will_pass_the_dress_to_the_sheep" "left" "right" "training" "6/17/2019" "11:19" "left" 1 6542.342 1 "Pre" "PO" "Pred" "Old"
"498wbE6Ds1TB31uO9iPg2FSGC" 2 "8pop" "Chase_will_give_the_biscuit_to_the_kitten" "left" "right" "training" "6/17/2019" "11:19" "left" 1 3507.342 1 "Pre" "PO" "Pred" "Old"
"498wbE6Ds1TB31uO9iPg2FSGC" 3 "2pop" "Tigger_will_give_the_bottle_to_the_zebra" "right" "left" "training" "6/17/2019" "11:19" "right" 1 3105.342 1 "Pre" "PO" "Pred" "Old"
