"","id","Phase","Predictability","TimeBin","SamplesInAOI","SamplesTotal","AOI","Elog","Weights","Prop","LogitAdjusted","ArcSin","Time","ot1","ot2","ot3","ot4","ot5","ot6","ot7"
"5885","SE76","Pre","Pred",4,23,35,"RecipientAOI",0.631271776841858,8.15972222222222,0.657142857142857,0.650587566141149,0.945250237728822,0.4,-0.165748386032949,-0.185312329165275,0.304649963342426,-0.0352335870040276,-0.286647296057282,0.262307136722036,0.0835363142701706
"5886","SE76","Pre","Pred",5,22,35,"RecipientAOI",0.510825623765991,8.4375,0.628571428571429,0.526093095896779,0.915430399754645,0.5,-0.0994490316197694,-0.259437260831385,0.214858395199395,0.170747383173363,-0.299020560635294,-0.0354469103678429,0.329748608961211
"5887","SE76","Pre","Pred",6,15,31,"RecipientAOI",-0.0625203569813339,7.9921875,0.483870967741935,-0.0645385211375712,0.769266332563325,0.6,-0.0331496772065898,-0.29649972666444,0.0769642012654549,0.292709799725765,-0.123732645780122,-0.283575282942741,0.175865924779315
"5888","SE76","Pre","Pred",7,18,34,"RecipientAOI",0.114410351177744,8.72142857142857,0.529411764705882,0.117783035656383,0.814826916370989,0.7,0.0331496772065898,-0.29649972666444,-0.0769642012654549,0.292709799725765,0.123732645780122,-0.283575282942741,-0.175865924779311
"5889","SE76","Pre","Pred",8,21,30,"RecipientAOI",0.816761136527122,6.58870967741935,0.7,0.847297860387203,0.991156586431192,0.8,0.0994490316197694,-0.259437260831385,-0.214858395199395,0.170747383173363,0.299020560635294,-0.0354469103678425,-0.329748608961212
"5890","SE76","Pre","Pred",9,24,34,"RecipientAOI",0.847297860387204,7.35,0.705882352941177,0.8754687373539,0.997593017694042,0.9,0.165748386032949,-0.185312329165275,-0.304649963342426,-0.0352335870040272,0.286647296057282,0.262307136722035,-0.0835363142701757
"5891","SE76","Pre","Pred",10,24,33,"RecipientAOI",0.947381318944186,6.84558823529412,0.727272727272727,0.980829253011726,1.02132908203727,1,0.232047740446129,-0.0741249316661101,-0.314270488500608,-0.249345384951578,0.0577419013640566,0.321857946140012,0.310403357235488
"5892","SE76","Pre","Pred",11,18,33,"RecipientAOI",0.176930708159078,8.43382352941176,0.545454545454545,0.182321556793954,0.830915552416156,1.1,0.298347094859308,0.0741249316661101,-0.211651553480001,-0.357756421887046,-0.272211820716268,-0.0155966405618508,0.26116089829728
"5893","SE76","Pre","Pred",12,11,33,"RecipientAOI",-0.67116827384117,7.61029411764706,0.333333333333333,-0.693147180559945,0.615479708670387,1.2,0.364646449272488,0.259437260831385,0.0352752589133335,-0.208691246100777,-0.385633412681379,-0.452302576293672,-0.415922912103075
"5894","SE76","Pre","Pred",13,5,29,"RecipientAOI",-1.49392502531226,4.49166666666667,0.172413793103448,-1.56861591791385,0.428192755581941,1.3,0.430945803685667,0.481812055829716,0.458578365873336,0.3875694570443,0.29489613910929,0.20275632730406,0.125744136217209
